condition,label_fraction,n_labeled,macro_auroc,COVID,Lung_Opacity,Normal,Viral Pneumonia
ssl_linear_probe,0.01,170,0.7785051140611257,0.7354867831467231,0.7366745854187329,0.6785354404631512,0.9633236472158957
ssl_linear_probe,0.1,1693,0.7642496119646266,0.7210313659433454,0.674654611712065,0.695815991237678,0.9654964789654179
ssl_linear_probe,1.0,16935,0.7792914783805183,0.7225286521121643,0.7513588732307739,0.6814207479267721,0.9618576402523626
imagenet_linear_probe,0.01,170,0.9243872612032163,0.8851163149145115,0.9140930722451583,0.9053293694257549,0.9930102882274405
imagenet_linear_probe,0.1,1693,0.9254807930928217,0.898977221433211,0.903837135103136,0.9119887341574089,0.9871200816775307
imagenet_linear_probe,1.0,16935,0.9294954283134235,0.9090178463299975,0.9153692983063096,0.9076263495540604,0.9859682190633262
from_scratch_supervised,0.01,170,0.8116625924869353,0.8131805220684567,0.7210023756256199,0.7410546080425598,0.971412864211105
from_scratch_supervised,0.1,1693,0.9380027338675907,0.9369708579669936,0.914796534200552,0.904196526365201,0.9960470169376161
from_scratch_supervised,1.0,16935,0.9844332559904042,0.9963888980634366,0.9683326798440852,0.9731685182287592,0.9998429278253358
